n_agents,movement_saturation,relative_leader_influence,conversion_rate,run_id,aggregation_method,signal_representation
25,90,50,1,5,sum-linear,binary
25,90,50,0,6,sum-linear,binary
25,90,50,0.5,7,sum-linear,binary
25,90,50,1,8,sum-linear,binary
25,90,50,0,9,sum-linear,binary
25,90,50,1,10,sum-linear,binary
25,95,50,0,1,sum-linear,binary
25,95,50,1,2,sum-linear,binary
25,95,50,1,3,sum-linear,binary
25,95,50,0,4,sum-linear,binary
25,95,50,0,5,sum-linear,binary
25,95,50,0,6,sum-linear,binary
25,95,50,1,7,sum-linear,binary
25,95,50,1,8,sum-linear,binary
25,95,50,0,9,sum-linear,binary
25,95,50,1,10,sum-linear,binary
25,5,50,0,1,product,binary
25,5,50,0.043478260869565216,2,product,binary
25,5,50,0,3,product,binary
25,5,50,0,4,product,binary
25,5,50,0.08695652173913043,5,product,binary
25,5,50,0.08695652173913043,6,product,binary
25,5,50,0.043478260869565216,7,product,binary
25,5,50,0,8,product,binary
25,5,50,0,9,product,binary
25,5,50,0,10,product,binary
25,10,50,0,1,product,binary
25,10,50,0,2,product,binary
25,10,50,0,3,product,binary
25,10,50,0.13636363636363635,4,product,binary
25,10,50,0.045454545454545456,5,product,binary
25,10,50,0,6,product,binary
25,10,50,0.045454545454545456,7,product,binary
25,10,50,0.045454545454545456,8,product,binary
25,10,50,0.045454545454545456,9,product,binary
25,10,50,0.13636363636363635,10,product,binary
25,15,50,0,1,product,binary
25,15,50,0.047619047619047616,2,product,binary
25,15,50,0.09523809523809523,3,product,binary
25,15,50,0.09523809523809523,4,product,binary
25,15,50,0.09523809523809523,5,product,binary
25,15,50,0.047619047619047616,6,product,binary
25,15,50,0.23809523809523808,7,product,binary
25,15,50,0.047619047619047616,8,product,binary
25,15,50,0,9,product,binary
25,15,50,0.047619047619047616,10,product,binary
25,20,50,0.05,1,product,binary
25,20,50,0.1,2,product,binary
25,20,50,0,3,product,binary
25,20,50,0.25,4,product,binary
25,20,50,0,5,product,binary
25,20,50,0,6,product,binary
25,20,50,0.05,7,product,binary
25,20,50,0.05,8,product,binary
25,20,50,0,9,product,binary
25,20,50,0.15,10,product,binary
25,25,50,0.05555555555555555,1,product,binary
25,25,50,0.05555555555555555,2,product,binary
25,25,50,0.05555555555555555,3,product,binary
25,25,50,0.05555555555555555,4,product,binary
25,25,50,0.05555555555555555,5,product,binary
25,25,50,0.16666666666666666,6,product,binary
25,25,50,0.16666666666666666,7,product,binary
25,25,50,0.16666666666666666,8,product,binary
25,25,50,0.1111111111111111,9,product,binary
25,25,50,0.16666666666666666,10,product,binary
25,30,50,0.35294117647058826,1,product,binary
25,30,50,0.058823529411764705,2,product,binary
25,30,50,0.058823529411764705,3,product,binary
25,30,50,0.29411764705882354,4,product,binary
25,30,50,0.17647058823529413,5,product,binary
25,30,50,0.23529411764705882,6,product,binary
25,30,50,0,7,product,binary
25,30,50,0.058823529411764705,8,product,binary
25,30,50,0.17647058823529413,9,product,binary
25,30,50,0.058823529411764705,10,product,binary
25,35,50,0.125,1,product,binary
25,35,50,0.125,2,product,binary
25,35,50,0.125,3,product,binary
25,35,50,0.0625,4,product,binary
25,35,50,0.125,5,product,binary
25,35,50,0.125,6,product,binary
25,35,50,0.0625,7,product,binary
25,35,50,0.0625,8,product,binary
25,35,50,0.125,9,product,binary
25,35,50,0.1875,10,product,binary
25,40,50,0.26666666666666666,1,product,binary
25,40,50,0.13333333333333333,2,product,binary
25,40,50,0.06666666666666667,3,product,binary
25,40,50,0.06666666666666667,4,product,binary
25,40,50,0.13333333333333333,5,product,binary
25,40,50,0.13333333333333333,6,product,binary
25,40,50,0.2,7,product,binary
25,40,50,0.13333333333333333,8,product,binary
25,40,50,0.2,9,product,binary
25,40,50,0.2,10,product,binary
25,45,50,0.3076923076923077,1,product,binary
25,45,50,0.07692307692307693,2,product,binary
25,45,50,0.07692307692307693,3,product,binary
